Manufacturer,Type,Codename,Cu/Al strand count (no),Cu/Al strand wire diameter (mm),Steel strand count (no),Steel strand wire diameter (mm),Layer Construction,Cross sectional area (mm�),Nominal overall diameter (mm),Approximate mass (kg/m),Breaking load (kN),Modulus of elasticity (GPa),Coefficient of linear expansion (�10e-6/deg. C),DC resistance at 20 deg. C (ohm/km),AC resistance  at 50Hz 75 deg. C (ohm/km),Inductive reactance to 0.3m at 50 Hz (ohm/km),DC resistance  at 50Hz 75 deg. C (ohm/km),Geometric mean radius (mm),"Continuous current carrying capacity, Rural weathered, Winter night, Still air","Continuous current carrying capacity, Rural weathered, Winter night, 1m/s wind","Continuous current carrying capacity, Rural weathered, Winter night, 2m/s wind","Continuous current carrying capacity, Rural weathered, Summer noon, Still air","Continuous current carrying capacity, Rural weathered, Summer noon, 1m/s wind","Continuous current carrying capacity, Rural weathered, Summer noon, 2m/s wind","Continuous current carrying capacity, Industrial weathered, Winter night, Still air","Continuous current carrying capacity, Industrial weathered, Winter night, 1m/s wind","Continuous current carrying capacity, Industrial weathered, Winter night, 2m/s wind","Continuous current carrying capacity, Industrial weathered, Summer Noon, Still air","Continuous current carrying capacity, Industrial weathered, Summer Noon, 1m/s wind","Continuous current carrying capacity, Industrial weathered, Summer Noon, 2m/s wind"
Olex,AAC,Leo,7,2.50,,,,34.4,7.5,94.3,5.71,65,23,0.833,1.02,0.295,,,123,211,245,95,190,225,132,216,250,88,186,222
Olex,AAC,Leonids,7,2.75,,,,41.6,8.25,113,6.72,65,23,0.689,0.842,0.289,,,140,237,276,107,213,253,150,243,282,99,209,249
Olex,AAC,Libra,7,3.00,,,,49.5,9,135,7.98,65,23,0.579,0.707,0.284,,,157,265,308,119,237,281,169,272,314,110,232,277
Olex,AAC,Mars,7,3.75,,,,77.3,11.3,211,11.8,65,23,0.37,0.452,0.27,,,211,350,408,157,311,369,228,361,417,143,304,364
Olex,AAC,Mercury,7,4.50,,,,111,13.5,304,16.9,65,23,0.258,0.315,0.259,,,269,440,511,196,388,461,292,454,524,176,378,453
Olex,AAC,Moon,7,4.75,,,,124,14.3,339,18.9,65,23,0.232,0.284,0.255,,,289,470,546,209,413,492,314,486,560,188,403,483
Olex,AAC,Neptune,19,3.25,,,,158,16.3,433,24.7,65,23,0.183,0.224,0.244,,,343,548,636,243,479,570,373,568,653,216,465,559
Olex,AAC,Orion,19,3.50,,,,183,17.5,503,28.7,65,23,0.157,0.192,0.24,,,381,603,699,269,525,625,416,626,719,238,510,612
Olex,AAC,Pluto,19,3.75,,,,210,18.8,576,31.9,65,23,0.137,0.168,0.235,,,420,657,762,295,570,679,458,683,784,260,553,665
Olex,AAC,Saturn,37,3.00,,,,262,21,721,42.2,64,23,0.11,0.135,0.227,,,490,755,875,341,651,776,536,786,901,299,630,759
Olex,AAC,Sirius,37,3.25,,,,307,22.8,845,48.2,64,23,0.094,0.116,0.222,,,547,834,975,379,716,854,599,869,1006,331,692,834
Olex,AAC,Taurus,19,4.75,,,,337,23.8,924,51.3,65,23,0.0857,0.105,0.22,,,583,883,1039,402,756,902,639,921,1071,350,730,880
Olex,AAC,Triton,37,3.75,,,,409,26.3,1120,62.2,64,23,0.0706,0.0872,0.213,,,668,997,1190,457,849,1028,733,1042,1228,396,818,1002
Olex,AAC,Uranus,61,3.25,,,,506,29.3,1400,75.2,64,23,0.0572,0.071,0.206,,,773,1137,1377,525,962,1188,850,1191,1422,452,925,1158
Olex,AAC,Ursula,61,3.50,,,,587,31.5,1620,87.3,64,23,0.0493,0.0616,0.201,,,856,1246,1524,578,1049,1314,942,1307,1574,495,1006,1280
Olex,AAC,Venus,61,3.75,,,,673,33.8,1860,97.2,64,23,0.0429,0.0539,0.197,,,941,1356,1674,631,1137,1442,1036,1424,1730,539,1089,1405
Olex,AAAC/1120,Chlorine,7,2.50,,,,34.4,7.5,94.3,8.18,65,23,0.864,1.05,0.295,,,121,207,241,94,187,221,130,212,246,87,183,219
Olex,AAAC/1120,Chromium,7,2.75,,,,41.6,8.25,113,9.91,65,23,0.713,0.866,0.289,,,137,234,272,106,210,249,148,240,277,98,206,246
Olex,AAAC/1120,Fluorine,7,3.00,,,,49.5,9,135,11.8,65,23,0.599,0.728,0.284,,,154,261,303,118,234,277,166,268,309,108,229,273
Olex,AAAC/1120,Helium,7,3.75,,,,77.3,11.3,211,17.6,65,23,0.383,0.465,0.27,,,208,345,401,155,307,364,225,356,410,141,300,358
Olex,AAAC/1120,Hydrogen,7,4.50,,,,111,13.5,304,24.3,65,23,0.266,0.323,0.259,,,265,434,504,194,383,455,288,448,517,74,373,447
Olex,AAAC/1120,Iodine,7,4.75,,,,124,14.3,339,27.1,65,23,0.239,0.291,0.255,,,285,464,539,207,409,486,310,480,553,185,398,477
Olex,AAAC/1120,Krypton,19,3.25,,,,158,16.3,433,37.4,65,23,0.189,0.23,0.244,,,338,540,627,240,473,562,368,560,644,213,459,551
Olex,AAAC/1120,Lutetium,19,3.50,,,,183,17.5,503,41.7,65,23,0.163,0.198,0.24,,,375,593,688,265,517,615,409,615,707,234,502,603
Olex,AAAC/1120,Neon,19,3.75,,,,210,18.8,576,47.8,65,23,0.142,0.173,0.235,,,413,647,750,290,562,669,451,672,771,256,545,655
Olex,AAAC/1120,Nitrogen,37,3.00,,,,262,21,721,62.2,64,23,0.114,0.139,0.227,,,482,743,861,336,642,765,528,774,887,295,621,748
Olex,AAAC/1120,Nobelium,37,3.25,,,,307,22.8,845,72.8,64,23,0.0973,0.119,0.222,,,539,821,961,373,706,842,590,856,990,326,682,822
Olex,AAAC/1120,Oxygen,19,4.75,,,,337,23.8,924,73.6,65,23,0.0884,0.108,0.22,,,575,871,1025,397,747,891,630,908,1057,346,721,870
Olex,AAAC/1120,Phosphorus,37,3.75,,,,409,26.3,1120,93.1,64,23,0.0731,0.0897,0.213,,,658,982,1172,451,837,1013,722,1026,1209,391,807,988
Olex,AAAC/1120,Selenium,61,3.25,,,,506,29.3,1400,114,64,23,0.0592,0.073,0.206,,,762,1120,1357,518,949,1172,838,1173,1401,446,912,1142
Olex,AAAC/1120,Silicon,61,3.50,,,,587,31.5,1620,127,64,23,0.0511,0.0634,0.201,,,843,1227,1501,569,1034,1295,928,1287,1550,488,992,1262
Olex,AAAC/1120,Sulfur,61,3.75,,,,673,33.8,1860,145,64,23,0.0444,0.0554,0.197,,,927,1336,1650,623,1122,1423,1021,1403,1705,532,1074,1386
Olex,HDCU,HDCU 7/1.00,7,1.00,,,,5.5,3,49.3,2.32,120,17,3.25,3.93,0.353,,,47,85,99,39,79,93,49,86,101,37,78,92
Olex,HDCU,HDCU 7/1.25,7,1.25,,,,8.59,3.75,76.9,3.59,120,17,2.09,2.53,0.339,,,62,112,131,51,103,122,66,114,133,48,102,121
Olex,HDCU,HDCU 7/1.75,7,1.75,,,,16.8,5.25,151,6.89,120,17,1.06,1.28,0.318,,,97,171,200,78,156,185,104,175,203,73,154,183
Olex,HDCU,HDCU 7/2.00,7,2.00,,,,22,6,197,8.89,120,17,0.815,0.986,0.31,,,116,202,235,92,183,217,124,206,239,86,180,215
Olex,HDCU,HDCU 7/2.75,7,2.75,,,,41.6,8.25,375,16.2,120,17,0.433,0.524,0.289,,,176,300,350,136,270,320,190,308,356,126,265,316
Olex,HDCU,HDCU 19/1.75,19,1.75,,,,45.7,8.75,413,18.3,118,17,0.395,0.478,0.283,,,188,319,371,144,286,340,203,327,379,133,281,335
Olex,HDCU,HDCU 19/2.00,19,2.00,,,,59.7,10,538,23.6,118,17,0.303,0.367,0.275,,,225,377,438,170,337,400,242,388,448,156,330,394
Olex,HDCU,HDCU 7/3.50,7,3.50,,,,67.4,10.5,607,25.4,120,17,0.268,0.324,0.274,,,243,406,472,183,362,430,262,418,482,167,354,423
Olex,HDCU,HDCU 7/3.75,7,3.75,,,,77.3,11.3,696,28.8,120,17,0.233,0.282,0.27,,,267,443,515,199,394,468,288,456,526,181,385,460
Olex,HDCU,HDCU 37/1.75,37,1.75,,,,89,12.3,806,35.6,117,17,0.203,0.246,0.261,,,294,485,564,217,430,511,318,500,577,197,420,502
Olex,HDCU,HDCU 19/2.75,19,2.75,,,,113,13.8,1020,43.1,118,17,0.16,0.194,0.255,,,344,563,653,251,496,590,374,581,670,226,484,579
Olex,HDCU,HDCU 19/3.00,19,3.00,,,,134,15,1210,50.8,118,17,0.134,0.163,0.249,,,388,629,730,280,552,657,423,650,748,250,538,645
Olex,HDCU,HDCU 37/2.50,37,2.50,,,,182,17.5,1640,70.3,117,17,0.0996,0.121,0.239,,,479,758,879,339,661,787,523,786,903,300,642,771
Olex,HDCU,HDCU 37/2.75,37,2.75,,,,220,19.3,1990,83.9,117,17,0.0823,0.1,0.233,,,547,854,989,384,742,883,598,887,1018,339,719,864
Olex,HDCU,HDCU 37/3.00,37,3.00,,,,262,21,2370,98.9,117,17,0.0691,0.0846,0.227,,,618,952,1102,431,823,981,676,991,1136,378,796,959
Olex,HDCU,HDCU 61/2.75,61,2.75,,,,362,24.8,3290,138,117,17,0.05,0.0618,0.217,,,772,1162,1376,533,996,1193,847,1213,1419,463,961,1164
Olex,ACSR/GZ,Almond,6,2.50,1,2.50,6/1(<3.0mm),34.4,7.5,119,10.5,83,19.3,0.975,1.31,0.296,,,108,186,216,84,167,198,116,190,220,79,164,196
Olex,ACSR/GZ,Apricot,6,2.75,1,2.75,6/1(<3.0mm),41.6,8.3,144,12.6,83,19.3,0.805,1.08,0.29,,,123,209,244,95,188,223,131,215,248,89,184,220
Olex,ACSR/GZ,Apple,6,3.00,1,3.00,6/1(>=3.0mm),49.5,9,171,14.9,83,19.3,0.677,0.91,0.285,,,138,233,272,107,209,248,148,240,277,98,205,244
Olex,ACSR/GZ,Banana,6,3.75,1,3.75,6/1(>=3.0mm),77.3,11.3,268,22.7,83,19.3,0.433,0.582,0.271,,,187,309,359,141,274,326,201,318,367,129,268,321
Olex,ACSR/GZ,Cherry,6,4.75,7,1.60,6/7,120,14.3,402,33.4,80,19.9,0.271,0.367,0.256,,,259,416,483,191,364,434,280,430,495,171,354,426
Olex,ACSR/GZ,Grape,30,2.50,7,2.50,30/7,182,17.5,677,63.5,88,18.4,0.196,0.263,0.24,,,330,513,598,238,449,531,361,532,614,211,436,520
Olex,ACSR/GZ,Lemon,30,3.00,7,3.00,30/7,262,21,973,90.4,88,18.4,0.136,0.167,0.228,,,441,680,787,307,586,698,482,707,811,269,567,682
Olex,ACSR/GZ,Lychee,30,3.25,7,3.25,30/7,307,22.8,1140,105,88,18.4,0.116,0.142,0.223,,,493,752,879,341,645,769,540,783,906,298,623,751
Olex,ACSR/GZ,Lime,30,3.50,7,3.50,30/7,356,24.5,1320,122,88,18.4,0.1,0.123,0.219,,,548,826,976,377,706,843,601,862,1007,328,681,823
Olex,ACSR/GZ,Mango,54,3.00,7,3.00,54/7,431,27,1440,119,78,19.9,0.0758,0.0955,0.212,,,648,960,1147,443,816,991,711,1003,1183,383,786,966
Olex,ACSR/GZ,Orange,54,3.25,7,3.25,54/7,506,29.3,1690,137,78,19.9,0.0646,0.0816,0.207,,,724,1061,1282,492,898,1106,796,1110,1323,424,863,1078
Olex,ACSR/GZ,Olive,54,3.50,7,3.50,54/7,587,31.5,1960,159,78,19.9,0.0557,0.0705,0.202,,,804,1165,1421,543,981,1225,884,1220,1466,466,941,1194
Olex,ACSR/GZ,Pawpaw,54,3.75,19,2.25,54/19,672,33.8,2240,178,77,20,0.0485,0.0615,0.198,,,885,1270,1563,595,1065,1347,974,1333,1614,508,1020,1312
Olex,ACSR/GZ,Quince,3,1.75,4,1.75,3/4,16.8,5.3,95,12.7,136,13.9,3.25,4.37,0.346,,,53,93,108,42,85,100,56,95,110,40,83,99
Olex,ACSR/GZ,Raisin,3,2.50,4,2.50,3/4,34.4,7.5,195,24.4,136,13.9,1.59,2.14,0.324,,,85,145,169,66,131,155,91,149,172,61,129,153
Olex,ACSR/GZ,Sultana,4,3.00,3,3.00,4/3,49.5,9,243,28.3,119,15.2,0.897,1.21,0.302,,,120,203,236,91,181,215,129,208,241,84,178,212
Olex,ACSR/GZ,Walnut,4,3.75,3,3.75,4/3,77.3,11.3,380,43.9,119,15.2,0.573,0.77,0.288,,,161,269,312,121,238,283,175,277,319,111,233,279
Olex,ACSR/AC,Angling,6,2.50,1,2.50,6/1(<3.0mm),34.4,7.5,113,10.6,79,20.1,0.923,1.24,0.296,,,111,191,222,87,172,204,119,195,226,81,169,201
Olex,ACSR/AC,Aquatics,6,2.75,1,2.75,6/1(<3.0mm),41.6,8.3,137,12.7,79,20.1,0.763,1.03,0.29,,,126,215,250,98,193,229,136,221,255,91,189,226
Olex,ACSR/AC,Archery,6,3.00,1,3.00,6/1(>=3.0mm),49.5,9,163,15.1,79,20.1,0.641,0.861,0.285,,,141,240,279,109,215,255,152,246,285,100,210,251
Olex,ACSR/AC,Baseball,6,3.75,1,3.75,6/1(>=3.0mm),77.3,11.3,254,22.3,79,20.1,0.41,0.551,0.271,,,192,318,369,145,282,335,207,327,378,133,276,329
Olex,ACSR/AC,Bowls,6,4.75,7,1.60,6/7,120,14.3,385,32.7,76,20.6,0.259,0.352,0.256,,,265,425,494,195,372,444,286,440,506,175,362,436
Olex,ACSR/AC,Cricket,30,2.50,7,2.50,30/7,182,17.5,636,64.4,82,19.4,0.182,0.245,0.24,,,342,532,620,246,465,554,374,555,637,219,452,540
Olex,ACSR/AC,Darts,30,3.00,7,3.00,30/7,262,21,913,91.6,82,19.4,0.126,0.155,0.228,,,458,706,817,319,609,725,501,735,842,280,589,709
Olex,ACSR/AC,Dice,30,3.25,7,3.25,30/7,307,22.8,1070,106,82,19.4,0.108,0.133,0.223,,,511,779,911,354,668,797,560,812,939,309,646,779
Olex,ACSR/AC,Diving,30,3.50,7,3.50,30/7,356,24.5,1240,122,82,19.4,0.0928,0.114,0.219,,,569,857,1013,391,732,875,624,895,1045,340,707,854
Olex,ACSR/AC,Golf,54,3.00,7,3.00,54/7,431,27,1380,120,75,20.6,0.0726,0.0915,0.212,,,662,980,1172,452,834,1012,726,1024,1208,392,803,987
Olex,ACSR/AC,Gymnastics,54,3.25,7,3.25,54/7,506,29.3,1620,139,75,20.6,0.0619,0.0782,0.207,,,740,1084,1309,503,917,1130,813,1134,1351,433,882,1101,
Olex,ACSR/AC,Hurdles,54,3.50,7,3.50,54/7,587,31.5,1880,159,75,20.6,0.0533,0.0675,0.202,,,821,1190,1452,555,1003,1252,903,1247,1499,476,962,1220
Olex,ACSR/AC,Lacrosse,54,3.75,19,2.25,54/19,672,33.8,2150,180,74,20.7,0.0465,0.059,0.198,,,904,1297,1596,607,1088,1375,995,1361,1648,519,1042,1339
Olex,ACSR/AC,Skating,3,1.75,4,1.75,3/4,16.8,5.3,83,12.3,119,15.3,2.75,3.7,0.346,,,57,101,118,46,92,109,61,103,120,43,91,108
Olex,ACSR/AC,Soccer,3,2.50,4,2.50,3/4,34.4,7.5,171,24.9,119,15.3,1.34,1.8,0.324,,,92,158,184,72,143,169,99,162,188,67,140,167
Olex,ACSR/AC,Swimming,4,3.00,3,3.00,4/3,49.5,9,218,28.9,106,16.5,0.807,1.08,0.302,,,127,214,249,96,191,227,136,219,254,89,187,224
Olex,ACSR/AC,Tennis,4,3.75,3,3.75,4/3,77.3,11.3,340,42.6,106,16.5,0.517,0.695,0.288,,,170,283,329,127,251,298,184,291,336,116,245,293
Olex,SC/GZ,SC/GZ 3/2.00,,,3,2.00,,9.43,4.3,74,11.7,189,11.5,20,,,25,,21,37,43,17,34,40,,,,,,
Olex,SC/GZ,SC/GZ 3/2.75,,,3,2.75,,17.8,5.9,140,22.2,189,11.5,11,,,14,,31,54,63,25,49,58,,,,,,
Olex,SC/GZ,SC/GZ 7/2.00,,,7,2.00,,22,6,173,26,187,11.5,8.7,,,11,,35,61,71,28,55,66,,,,,,
Olex,SC/GZ,SC/GZ 7/2.75,,,7,2.75,,41.6,8.3,328,49,187,11.5,4.6,,,5.7,,54,91,106,41,82,97,,,,,,
Olex,SC/GZ,SC/GZ 7/3.25,,,7,3.25,,58.1,9.8,458,68.7,187,11.5,3.3,,,4.1,,67,113,131,51,100,119,,,,,,
Olex,SC/GZ,SC/GZ 7/3.75,,,7,3.75,,77.3,11.3,609,91.3,187,11.5,2.5,,,3.1,,81,134,156,60,119,141,,,,,,
Olex,SC/GZ,SC/GZ 19/2.00,,,19,2.00,,59.7,10,473,70.5,184,11.5,3.2,,,4,,69,115,134,52,102,121,,,,,,
Olex,SC/GZ,SC/GZ 19/2.75,,,19,2.75,,113,13.8,894,133,184,11.5,1.7,,,2.1,,105,171,199,76,150,179,,,,,,
Olex,SC/GZ,SC/GZ 19/3.25,,,19,3.25,,158,16.3,1250,186,184,11.5,1.2,,,1.5,,133,213,247,94,186,221,,,,,,
Olex,SC/AC,SC/AC 3/2.75,,,3,2.75,,17.82,5.9,118,22.7,159,12.9,4.8,,,5.75,,48,83,97,38,76,90,,,,,,
Olex,SC/AC,SC/AC 3/3.00,,,3,3.00,,21.21,6.5,141,27,159,12.9,4.02,,,4.82,,54,93,108,42,84,100,,,,,,
Olex,SC/AC,SC/AC 3/3.25,,,3,3.25,,24.89,7,165,31.6,159,12.9,3.42,,,4.1,,60,103,120,47,93,110,,,,,,
Olex,SC/AC,SC/AC 3/3.75,,,3,3.75,,33.12,8.1,220,39.3,159,12.9,2.58,,,3.09,,72,123,143,56,111,131,,,,,,
Olex,SC/AC,SC/AC 7/2.75,,,7,2.75,,41.58,8.3,277,50.1,157,12.9,2.06,,,2.47,,81,138,161,63,124,148,,,,,,
Olex,SC/AC,SC/AC 7/3.00,,,7,3.00,,49.48,9,330,59.7,157,12.9,1.73,,,2.07,,91,154,179,70,138,164,,,,,,
Olex,SC/AC,SC/AC 7/3.25,,,7,3.25,,58.07,9.8,387,69.9,157,12.9,1.47,,,1.76,,102,170,198,77,153,181,,,,,,
Olex,SC/AC,SC/AC 7/3.75,,,7,3.75,,77.28,11.3,515,86.9,157,12.9,1.11,,,1.33,,123,204,237,92,181,215,,,,,,
Olex,SC/AC,SC/AC 7/4.25,,,7,4.25,,99.33,12.8,662,105,157,12.9,0.864,,,1.04,,145,238,277,107,211,251,,,,,,
Olex,SC/AC,SC/AC 19/2.75,,,19,2.75,,112.9,13.8,755,136,155,12.9,0.764,,,0.915,,158,259,300,116,228,272,,,,,,
Olex,SC/AC,SC/AC 19/3.00,,,19,3.00,,134.3,15,899,162,155,12.9,0.642,,,0.769,,178,288,335,129,54,302,,,,,,
